Category,Metric,Value,Unit
EYEBROW,right_brow_peak_height_mm,15.096,mm
EYEBROW,left_brow_peak_height_mm,16.28,mm
EYEBROW,right_brow_elevation_ratio,0.238,ratio
EYEBROW,left_brow_elevation_ratio,0.256,ratio
EYEBROW,right_brow_apex_angle_deg,119.012,deg
EYEBROW,left_brow_apex_angle_deg,115.136,deg
EYE,right_eye_aspect_ratio,0.294,ratio
EYE,left_eye_aspect_ratio,0.298,ratio
EYE,eye_spacing_ipd_over_face_width,0.726,ratio
EYE,right_lower_eyelid_curvature,0.12,ratio
EYE,left_lower_eyelid_curvature,0.118,ratio
NOSE,nasal_width_mm,31.377,mm
NOSE,nasal_height_mm,34.783,mm
NOSE,nasal_aspect_ratio_width_over_height,0.902,ratio
NOSE,naso_canthal_ratio_nose_width_over_intercanthal,1.211,ratio
NOSE,pyramidal_width_mm,14.359,mm
LIPS,mouth_width_mm,37.297,mm
LIPS,philtrum_length_mm,13.469,mm
LIPS,cupids_bow_angle_deg,152.657,deg
CHEEKS,facial_width_mm,87.489,mm
CHEEKS,malar_width_ratio_powell,0.744,ratio
CHEEKS,right_cheekbone_vertical_position_ratio,0.467,"ratio (0=forehead, 1=chin)"
CHEEKS,left_cheekbone_vertical_position_ratio,0.451,"ratio (0=forehead, 1=chin)"
JAW,frontal_jaw_rise_mm,21.46,mm
JAW,jaw_width_mm,74.317,mm
JAW,right_jaw_inclination_angle_deg,29.337,deg
JAW,left_jaw_inclination_angle_deg,147.241,deg
JAW,face_width_mm,87.489,mm
CHIN,chin_width_mm,64.249,mm
CHIN,chin_vertical_height_mm,26.197,mm
CHIN,chin_midline_deviation_mm,0.686,mm
HAIR,forehead_width_mm,87.489,mm
HAIR,forehead_height_mm_mesh_approx,18.219,mm
HAIR,right_temple_inclination_angle_deg,1.66,deg
HAIR,left_temple_inclination_angle_deg,1.66,deg
SMILE,upper_smile_arc_curvature,0.171,ratio
SMILE,lower_smile_arc_curvature,0.151,ratio
SMILE,smile_width_mm,37.297,mm
NECK,neck_width_mm,71.483,mm
NECK,neck_width_to_jaw_width_ratio,0.962,ratio
